笔画,吉凶,义象,总论,性格,意志,事业,家庭,婚姻,子女,社交,精神,财运,健康,老运
木木木,吉,成功顺利伸展，希望圆满达成，基础安定，得能向上发展，家门昌隆，身心健全，保得长寿幸福，若巧遇（连珠局）者更加三倍以上之福力，但此为参天巨木大森林之象，须知树大招风，须提防他人之妒贤而多招风波之中伤。,事业或计划之事都可达成，身为职员或公务员，也能平步青云，步步高升，内外平顺圆满，家运昌隆，财运不缺。但须提防他人之嫉妒及小人之拖累招来无谓风波或损失，多在奋斗中得到稳定性的小成功。,为人忠厚正直，做事稳健可靠，有计划的头脑，敢作敢当，大致表面温和内性刚强，主观意识过重，容易独断独行，易受到他人的不满与中伤，这点需要改进。,意志尚称坚定，不断在追求理想，也有耐性，能克苦耐劳，得到正比的报酬。,在稳定中得发展，一生运途平顺，可以一展自已的抱负。不适投机性事业。,圆满幸福，夫妻相敬如宾，任何事情有合理的洽商。,男娶有才干之妻，喜欢掌理家中之一切事务。女嫁谦恭之夫，善于安排愉快气氛，使家庭和谐。,聪明又孝顺，容易在社会上出人头地，光大门楣。,能受到别人的尊重与欢迎，不论是薪水阶级或自营事业，都能得到提拔与照顾。,平日劳心于工作上的计划，但精神上都能得到安慰，保持原则不好高骛远，可永保无忧。,可依劳力的程度得到相当的财利，物质生活尚佳。属辛勤中得财之运。,容易精神疲劳，筋骨酸痛或胃肠之少许毛病。,为名为利，中年前辛勤，老境安然自在，晚年可享清福。
木木火,吉,成功顺利伸展，无障碍而向上发达，基础境遇亦安泰，事事顺利，兴盛隆昌，终生得幸福繁荣，身心健泰，保得长寿幸福。,成功运和基础运配置良好，做事有计划性且有进取心，容易发展成功。交际应酬要多节制，减少生活上不必要的浪费。并注意受亲友拖累损财之情事。,为人聪明机智，做事有计划，待人诚恳，做事坦白，心情好坏都可由表情看出来，交友甚广，为别人多劳，且有浪费金钱的倾向，外表乐观，内心多劳。,意志坚定，注重实际与工作，耐性亦佳，能克苦耐劳，创立属于自己的事业。,有进取心，对家庭责任感重，一生辛勤奋发，很容易功成名就。,圆满之象，子女贤孝。,男娶贤慧之妻，但容易因应酬较多，夫妻经常意见冲突。女嫁有家庭责任感之夫，感情和睦。,子女身体健康又活泼，稍嫌顽皮，成年后都很有成就。,与平辈朋友交往金钱上容易浪费或损失，若与晚辈或部下则较能够得到帮助与支持。,常为亲友之事，带来精神困扰，其他大致能得到相当安慰。,财运佳，物质丰富，兴隆通达。,身心健康，唯肾部较虚弱及肝胆机能所起的精神疲劳。,晚景呈祥，生活安定，子女贤孝。
木木土,吉,人格之木立于地格土之上，顺应天地自然之妙配，莫作木克土论，此局兆，乃必安泰自在，境遇坚固稳当，如立盘石之安泰一般，能成功发达，容易达成目的，名利双收，顺利发展，幸福长寿，但切戒贪污，否则招凶以受渎职犯法之罪惩。,有坚定的意志，超越的眼光，容易达成目的成功发展，唯主观太重，容易一意孤行，造成意外损失，如能广纳意见，确能带来更多良机。一生较劳碌。天运五行属木者，中年后陷入困境。,不断在充实自己能力，计划未来事业，积极向外发展，但为人较固执，自律也甚严，慷慨却不浪费，人际关系稍欠圆满。,意志不够坚定，情绪多变化，耐性亦欠佳，处事容易冲动，会意气用事。,辛勤苦劳中创业，一生运途平顺，中年后可一展自己的抱负。,气氛较严肃，但算美满。,男娶良妻，心地善良，温和亲切。女嫁贤夫，家庭观念相当重。,子女都能谦恭有责任感，在社会上发展成功。,过于自信，有时被误会为自大，但都能以身作则独得别人信服，具有领导方面的才能。,谋事太多，精神容易疲劳，所幸都有收获而得到精神安慰。,您的耕耘没有白费，财神会照顾您的，属劳碌中得财，中年后财运较佳，老运更丰。,用脑过度有精神衰弱现象，胃肠少许毛病。,为名为利终日劳心，老运可享清福。
木木金,凶多吉少,虽因苦心奋斗而有成功运，但基础运劣，故伸张无力，又境遇多变，常受迫害，难得平安，屡受下属威胁，为部下而致损失，劳烦、失败等，心情苦闷。（但若人格与他人格之阴阳异性：则其凶，减轻些。）,一生运途劳碌，为家庭劳苦，受有友之累，精神苦闷，唯有成功一时者，也难免有后顾之患，境遇多变化，且有外急难之处。,为人正直，个性顽强固执，待人虽诚恳，但社交拙劣，易受误会，常因一怒而招来不可收拾的后果。虽有成功运，多受环境或他人所迫害，有变动转移，难得平安，受部下的损害劳烦。(凶),一生运途劳碌，为家庭劳苦，受有友之累，精神苦闷，唯有成功一时者，也难免有后顾之患，境遇多变化，且有外急难之处。,为人正直，个性顽强固执，待人虽诚恳，但社交拙劣，易受误会，常因一怒而招来不可收拾的后果。,意志不坚定，思想事业多变化，耐性亦欠佳，处事容易冲动。,事业运不甚稳定，会有一时的成功，但有因好高骛远或受累而失败者。,夫妻不睦，子女不敬，气氛不融洽，,男娶好胜好强之妻，婚后时常争吵。女嫁有家庭责任之夫，但婚后不圆满。,子女身体较强状，但不听管教，容易与父母顶嘴，长大后会出人头地。,喜欢支配别人而惹人讨厌，虽有诚恳之心帮助别人，但多受人拖累又容易发生纠纷。,为家庭、朋友及事业苦闷多多，精神上压力很大。,时好时坏不稳定，应注意受亲友之拖累。
木木水,凶,成功运很不错，足可顺调发展，配置吉。但只怕人格数或地格数为凶数，则：最末终归渐渐的失意，流亡，失败，烦闷，刑伤，病弱，被药所杀，或招致流浪或放浪，挥霍之兆。（但若人格与地格之阴阳异性：则其凶减轻些。）,有才华，头脑灵敏，做事都经过仔细考虑，观察力强，信用也好，能发展成功之配置。但因数理有凶数，有家庭不幸或失败之倾向。天运五行有助者，名利可得。,善良优雅的个性，聪明又有判断力，但较为自私，花钱较小气，比较不注重物质生活，只想实现自己的理想，经历的考验较多。,意志坚定，为自己理想不断在奋斗，不浪费，耐性亦佳，能忍受艰苦。,有进取心，一生辛勤奋发，中年后可一展报复，事业有成。,父母缘薄，夫妻不甚和睦，家庭不温暖。,男娶好胜好强之妻，婚后常有小争吵，女嫁才干之夫，婚后大致圆满。,子女个性较固执，身体较虚弱。,外缘好，社交普通，人际关系尚称圆满。,常有烦事来困扰，精神生活常在不安定中。,如能减少意外损失，如天运五行有助于外格及总格时，中年后财源丰富。,易患气喘、胃病、心脏病等。,一生辛劳，晚景难裕，恐缺天伦之乐，身体也有病弱之象。
木火木,吉,得上下之惠助，顺调成功发展，基础稳固（但若有凶数则须提防火灾或烫伤之类），境遇安泰，地位，财产俱皆安全。子孙繁荣，心身健和，无忧自在，幸福长寿。但限若人格23数地格21数者：则甚好淫，却甚好淫，却无节制。,运限大致良好，但只能小成功，性情过急容易误事，交际较差，应从事人际关系较单纯的工作，减少精神负担，中年以后财运慢慢减弱。,外表乐观，内心多苦闷，待人诚恳，但喜怒无常，感情较极端，待人热心积极而常为他人所累，耐心处事终有所得。,意志坚定，思想正确，可依自己的理想奋发，早年稍有发展，中年后欠佳。,事业运平凡，在稳定中求发展，一生运徒尚称如意，中年后防意外失败。,夫妻同心协力创造家庭，但感情稍有些不满。,男娶个性稍强之女性为妻，女嫁谦恭之夫，但喜欢支配丈夫，表现才干。,男孩多于女孩，都能孝顺父母，在社会上有所成就。,待人诚恳，乐于解决别人的困难，想培养人际关系但常为他人所累。,事业虽能顺利，但总有些莫名其妙的事情，带来精神上的困扰。,虽有财运但不丰，注意受亲友之拖累。,有皮肤病或外伤、高血压。,精神寂寞，财运平凡，生活尚称安定。
木火火,平,起初难免有孤革奋斗之感，但斗志激昂，终排除困难，达到顺调，成功发达，尤能得上位之惠肋而更伸张发展。但似乎乏其持久，耐久力，以致虽是成败交加频见，总之大体还算安然，但须防火灾或烫伤之灾。,虽有成功运，但不甘寂寞，忍耐力不够，容易一意孤行，陷入孤军奋斗，如能修身养性，定能成功顺调。名利双利，若天运五行属水，青年时代事业难成又逢灾，老运亦欠佳。,外表乐观而豪爽，交际应酬有一套，人缘又好，但个性喜怒无常，感情易热易冷，个性急燥，容易意气用事。,意志尚称坚定，可依自己的理想和努力，达到成功成名，但不耐寂寞独处生活。,做事冲动而积极，很容易功成名就，一展自己的抱负。,夫妻美满，子女孝顺，但应节制应酬才能保持长久。,男娶热情直率之妻，应减少应酬风流之事，女嫁温厚谦恭之夫，要减少让丈夫多疑之行为。,男孩多于女孩，每个都健康活泼，稍嫌调皮，长大后都能获得相当成就。,人缘很好，朋友很多，易与异性接触，避免桃色事件发生。,外表乐观，内在则脾气暴，常自找精神上的负担。,物质不缺，财源广进，富贵之格。,注意血压过高或心脏病。,可享受晚年，但恐缺天份之乐。
木火土,吉,基础坚实，心身安泰，奴上位之引进而顺调成功发展，能享得幸福，长寿，圆满。,配置良好，年青时就开始发展，惟性情太急，容易误事，如改进缺点，可得成功发展，富贵之命，若天运五行属水，就很难成功，中年前后多逢灾。,有礼貌且热情，但性急且主观强，容易得罪人，与平辈朋友不很融洽，与晚辈和部属则能得到支持完成心愿。,意志坚定，能够乐观奋斗，但耐性不足，处事容易冲动，情绪不稳定。,事业成功顺利，有责任心，做事积极主动，可以一展自己的抱负。,夫妻美满，子女贤孝，圆满幸福。,男娶贤慧之妻，生活美满又和睦，女嫁有家庭责任之夫，感情甜蜜。,男孩多于女孩，有责任感且孝顺，长大定能出人头地。,具有领导能力，得到朋友的支持，尤其晚辈朋友更融洽。但性急要改进。,身心愉快，事业有成就。切勿自找麻烦。,财运丰富，物质生活佳。,身心健全，百病不侵。稍注意血压问题。,精神物质都相当如意，晚境吉祥。
木火金,凶,虽因勤奋而达顺调成功，外见安稳，内实不然，基础不安定致家庭违和，且受部下之迫害，徒劳无功，终于逐渐崩溃，而致失败。,做事只顾表面，不知内藏祸害，成功之时多注意后顾之患，才不致被人拖累，做事须脚踏实地，虚荣心不必太重，必可成功，财源富裕之格。,为人坦白、性直，喜怒无常，容易被人误会，喜虚荣风流，感情好坏分时，幸平时为人豪爽，能得朋友之助。,意志不坚定，喜欢投机或横发，花钱较浪费，耐性亦欠佳，处事会冲动。,做事冲动而积极，成败常在一瞬间，宜慎重考虑，以持盈保泰。,不太圆满，子女又顽固，夫妻多争吵。,男娶好胜寡和之妻，夫妻个性不投机，女嫁好丈夫，生活应守规矩，免受猜疑或误会。,子女顽固不守家教，应多给予爱的教育。子女中或有身体较差的。,交友广泛，但过于率直容易被子人误会，慎防亲友之拖累。,身心过劳，应节制不必要的交际，理智上要多控制，避免无谓的操劳。,财运佳，但要避免色情之灾。,神经衰弱，呼吸系统之病，脚伤。,晚景物质不缺，但乏天伦之乐，心情欠开朗。
木火水,凶,水火相克，其危早验！基础极端之不安定，（尤其人格数与地格数之相差数：若正是（六数）之名，其凶加倍！）恐遇意外灾祸，有凶变，急死，意外不测，甚至丧失生命、财产，危机四伏之短寿兆。,配置不良，或许能有一时的成功，恐有意外变化，好景不常，应谨慎意外灾祸之发生，更应修身养性，来保住您的生命或财产。天运五行有助，可成功立业。,喜占上风，容易得罪人，凡事好争好斗，易发生无谓的纠纷，凡事忍让点，戒除不必要的虚荣心，做事详加考虑，脚踏实地，可保身心愉快。有好色之嫌。,意志不坚定，易受酒色迷惑，但耐性尚佳，可忍受失败的痛苦，或意外的打击。,费心尽力为家庭劳累，如有一时的成就，宜退守为安。,夫妻感情不睦，应多忍耐免得婚姻破裂。,男娶个性刚强之妻，常有争吵，难得幸福，女嫁有家庭责任感之夫，但婚姻不美满。,个性孤癖，身体较虚弱。,虽能言善道，但性情急躁容易得罪人，好面子不愿屈居人下，恐有纠纷发生。,有后顾之忧，心神难得安宁。,时好时坏，财源不稳，如能慎重行事，老运财源可得。必须减少浪费之事。,注意外伤，腰酸脚痛，心肌或血管硬化。女人有妇科病或难产。,老境孤独，较为操心，但财源不缺。
